,ETF,Date,returns
495.0,FBGX,43033.0,1.565908872033816
496.0,FBGX,43034.0,1.569903256946711
497.0,FBGX,43035.0,1.619834124587793
498.0,FBGX,43038.0,1.614303313105878
499.0,FBGX,43039.0,1.623828624725767
500.0,FBGX,43040.0,1.616515711442695
501.0,FBGX,43041.0,1.615532411343731
502.0,FBGX,43042.0,1.634659812894597
503.0,FBGX,43045.0,1.641342829078198
504.0,FBT,42681.0,1.0
505.0,FBT,42682.0,1.013189020552238
506.0,FBT,42683.0,1.107316019696945
507.0,FBT,42684.0,1.128508647599015
508.0,FBT,42685.0,1.124901387948387
509.0,FBT,42688.0,1.153984941426952
510.0,FBT,42689.0,1.147221261945905
511.0,FBT,42690.0,1.119377794153735
512.0,FBT,42691.0,1.135948575537691
513.0,FBT,42692.0,1.123323223123923
514.0,FBT,42695.0,1.133919480711526
515.0,FBT,42696.0,1.10720327028749
516.0,FBT,42697.0,1.115206866364636
517.0,FBT,42699.0,1.121068629478848
518.0,FBT,42702.0,1.094352419054813
519.0,FBT,42703.0,1.095254256512842
520.0,FBT,42704.0,1.066057953624822
521.0,FBT,42705.0,1.043963499537409
522.0,FBT,42706.0,1.049261673421956
523.0,FBT,42709.0,1.058279766185095
524.0,FBT,42710.0,1.069214283273749
525.0,FBT,42711.0,1.037087149555711
526.0,FBT,42712.0,1.046556161047866
527.0,FBT,42713.0,1.048923504102396
528.0,FBT,42716.0,1.043399831398938
529.0,FBT,42717.0,1.047232589868477
530.0,FBT,42718.0,1.050163510879986
531.0,FBT,42719.0,1.073047041743288
532.0,FBT,42720.0,1.065043445666142
533.0,FBT,42723.0,1.051854346205099
534.0,FBT,42724.0,1.064592526937127
535.0,FBT,42725.0,1.043850738855267
536.0,FBT,42726.0,1.036748980236151
537.0,FBT,42727.0,1.0599706916917
538.0,FBT,42731.0,1.052868933072584
539.0,FBT,42732.0,1.037538068284726
540.0,FBT,42733.0,1.031676226261709
541.0,FBT,42734.0,1.024461706960452
542.0,FBT,42738.0,1.037988987013741
543.0,FBT,42739.0,1.077105220122931
544.0,FBT,42740.0,1.077217890623581
545.0,FBT,42741.0,1.094352419054813
546.0,FBT,42744.0,1.101566927083383
547.0,FBT,42745.0,1.107992358336065
548.0,FBT,42746.0,1.06865070531677
549.0,FBT,42747.0,1.08071247977356
550.0,FBT,42748.0,1.082177895188568
551.0,FBT,42752.0,1.058279766185095
552.0,FBT,42753.0,1.071468876918824
553.0,FBT,42754.0,1.063577940069642
554.0,FBT,42755.0,1.05782884745608
555.0,FBT,42758.0,1.044301657584282
556.0,FBT,42759.0,1.044414418266423
